"LAT","LON","LAT1","LON1","SHIPNAME","ship_type","distance","DATETIME"
55.72531,21.0928,55.71568,21.1116,"BEKAU","Cargo",1593,2016-12-16 18:27:07.000000
59.92099,30.00478,59.91674,30.02597,"BELBEK","Cargo",1273,2016-12-15 10:09:03.000000
54.38212,18.65497,54.382,18.655,"BELIZIA","Cargo",13,2016-12-13 13:33:02.000000
59.90683,30.07483,59.90217,30.09717,"BF CARTAGENA","Cargo",1351,2016-12-15 17:39:03.000000
59.8981,30.11638,59.90128,30.1009,"BF FORTALEZA","Cargo",934,2016-12-19 14:49:03.000000
55.731,20.8115,55.73117,20.83533,"BF VICTORIA","Cargo",1494,2016-12-16 20:51:06.000000
57.67889,11.81503,57.66332,11.77958,"BIRTHE BRES","Cargo",2731,2016-12-14 19:57:05.000000
55.71579,21.10976,55.72635,21.08929,"BIRYUZA","Cargo",1740,2016-12-17 23:41:06.000000
55.73779,20.82914,55.73701,20.85337,"BLUE CHIP","Cargo",1521,2016-12-15 16:41:07.000000
59.90621,30.07703,59.90845,30.0658,"BLUEBILL","Cargo",675,2016-12-18 16:51:03.000000
54.78593,18.98923,54.38472,18.66143,"BOGDAN","Cargo",49415,2016-12-14 10:09:01.000000
55.7036,21.1275,55.70339,21.12785,"BOMAR MOON","Cargo",32,2016-12-15 05:17:06.000000
59.90339,30.09083,59.90634,30.07622,"BOMAR VALOUR","Cargo",879,2016-12-18 14:37:03.000000
59.92179,30.00003,59.91869,30.01528,"BOMAR VANQUISH","Cargo",918,2016-12-13 18:51:03.000000
59.91052,30.05665,59.9026,30.09501,"BOREAS","Cargo",2316,2016-12-20 10:03:03.000000
55.73097,20.88806,55.73257,20.92661,"BOTNIA SEAWAYS","Cargo",2423,2016-12-15 10:23:07.000000
55.72371,21.09603,55.72816,21.07761,"BRIGGA","Cargo",1257,2016-12-15 22:27:07.000000
59.9073,30.07146,59.91186,30.04835,"BRIN NAVOLOK","Cargo",1386,2016-12-19 16:31:03.000000
59.91917,30.0135,54.44329,18.83962,"CALISTO","Cargo",906758,2016-12-16 02:41:03.000000
57.94847,12.08942,57.89535,12.03937,"CAROLINA","Cargo",6612,2016-12-20 08:37:05.000000
54.52669,18.56057,54.53396,18.55884,"CATHARINA SCHULTE","Cargo",817,2016-12-16 12:57:07.000000
55.64794,21.16266,55.65001,21.15734,"CEMISLE","Cargo",406,2016-12-14 01:27:06.000000
55.82241,20.86578,55.81088,20.8829,"CEMSOL","Cargo",1672,2016-12-18 15:35:06.000000
59.90677,30.07293,59.91285,30.04415,"CHARLOTTA B","Cargo",1743,2016-12-20 04:39:11.000000
59.91104,30.05359,59.90694,30.07371,"CHAROITE","Cargo",1212,2016-12-20 08:57:03.000000
59.89845,30.11499,59.89513,30.1313,"CHRISTOPHER","Cargo",983,2016-12-15 10:09:03.000000
57.62616,11.68129,57.61467,11.66392,"CITY OF ROME","Cargo",1646,2016-12-15 04:29:06.000000
59.91029,30.05716,59.90517,30.08229,"CITY OF ROTTERDAM","Cargo",1514,2016-12-13 21:37:04.000000
59.91145,30.05126,59.9152,30.03259,"CONMAR AVENUE","Cargo",1122,2016-12-15 01:15:04.000000
55.67983,21.1375,55.69683,21.12467,"CONTAINERSHIPS 6","Cargo",2057,2016-12-13 18:17:07.000000
55.75791,20.94193,55.77592,20.91944,"CONTAINERSHIPS VII","Cargo",2450,2016-12-18 05:51:06.000000
59.92139,30.00262,59.91788,30.01961,"DANUBE HIGHWAY","Cargo",1025,2016-12-15 17:29:03.000000
57.61215,11.66631,57.65377,11.72674,"DANUBIA","Cargo",5868,2016-12-20 09:31:05.000000
59.87425,30.19687,54.67282,19.80347,"DELPHIS BOTHNIA","Cargo",850610,2016-12-14 10:09:03.000000
55.72994,21.00316,55.72404,21.02729,"DIJKSGRACHT","Cargo",1649,2016-12-18 13:13:06.000000
54.68526,20.17245,54.68567,20.22827,"DINTELBORG","Cargo",3592,2016-12-15 21:47:03.000000
54.53861,18.79695,54.39253,18.67088,"DONGEBORG","Cargo",18192,2016-12-14 12:27:07.000000
54.53713,18.53838,54.79971,18.75241,"DORNUM","Cargo",32315,2016-12-13 11:31:08.000000
57.60002,11.61614,57.62032,11.80844,"DT BROSON","Cargo",11688,2016-12-15 08:33:06.000000
59.9155,30.03153,59.91245,30.04652,"DURBAN STAR","Cargo",903,2016-12-16 22:43:04.000000
54.54315,18.79748,54.79036,18.98408,"E.R. TALLINN","Cargo",30027,2016-12-18 03:39:07.000000
59.91523,30.03065,59.91897,30.01236,"E.R. VISBY","Cargo",1102,2016-12-20 03:59:03.000000
59.9085,30.066,59.91333,30.043,"EIRA","Cargo",1392,2016-12-19 14:49:03.000000
57.98357,12.12594,57.99507,12.12761,"EKEN","Cargo",1284,2016-12-15 05:57:05.000000
54.68555,20.23076,54.68553,20.174,"EMILIA","Cargo",3652,2016-12-16 03:11:03.000000
55.73155,20.80289,54.52822,18.78459,"EMOTION","Cargo",185575,2016-12-15 19:05:06.000000
55.65434,21.158,55.65417,21.15783,"EMSRUNNER","Cargo",22,2016-12-18 06:25:07.000000
54.54045,18.79836,54.79477,18.88789,"ENFORCER","Cargo",28892,2016-12-16 12:11:08.000000
55.83699,20.81754,55.84693,20.80334,"ESL AFRICA","Cargo",1418,2016-12-19 19:41:06.000000
59.91299,30.04387,59.91605,30.02825,"EYSTNES","Cargo",936,2016-12-19 14:57:03.000000
54.63331,19.89368,54.6695,19.82589,"FALKBRIS","Cargo",5941,2016-12-18 13:03:02.000000
59.91337,30.22852,59.89684,30.21549,"FAST HERMAN","Cargo",1979,2016-12-13 14:07:04.000000
57.65933,11.76567,57.66729,11.78699,"FAUST","Cargo",1548,2016-12-15 21:13:05.000000
59.91489,30.03413,59.91945,30.01142,"FEDERAL CEDAR","Cargo",1365,2016-12-19 14:25:03.000000
57.60081,11.69005,57.60059,11.69063,"FEDERAL SATSUKI","Cargo",42,2016-12-16 13:21:06.000000
54.68565,20.22589,54.68486,20.17102,"FEHN LIGHT","Cargo",3532,2016-12-16 18:11:02.000000
59.90938,30.0614,59.91251,30.04595,"FEHN POLLUX","Cargo",930,2016-12-20 05:35:03.000000
